"restaurant","rating","date","review","author"
"Arriba Arriba Sunnyside",4,"2017-03-13","Great happy hour spacial , food and service is great  Did I mention $6 frozen margaritas","Jason M."
"Arriba Arriba Sunnyside",2,"2017-02-06","I'll give the food a solid 4 stars. It is very good. My issue is with the shady business practices.  I ordered enchiladas. The menu stated 3 of them. When I received my order there were 2. I triple checked the item I ordered and I was correct. The menu item clearly stated 3. As I am not one to quickly write a bad review, I contacted the restaurant via the yelp app. No response. I went to attempt to order the same item and a banner popped up saying the description of the item had changed since I last ordered it. The new description not stating a quantity.  So management saw my inquiry, ignored me and changed the menu item without offering any compensation. That is some shady business.    You just lost a customer over one enchilada. Adios Muchachos!","Michael T."
"Arriba Arriba Sunnyside",5,"2017-03-07","Good food and great drinks. The Diablo wings live up to the name, and the Mole dishes are excellent. Taco Tuesdays are great way to try different styles tacos for cheap.","Mike P."
"Arriba Arriba Sunnyside",4,"2016-04-30","They have good food and really good prices for groups.  If you planning to celebrate your special day with big family that would be good choice. I was here with my family members celebrated special day.  Waitress service was good. Guacamole with chips was included all other menu specials.","Nick M."
"Arriba Arriba Sunnyside",5,"2016-05-12","Food is so delicious and authentic , best place in queens to eat Mexican food  Good food, music, drinks and company.  This Sunnyside gem is located right on Queens blvd and has alot to offer. Thanks to SRW (Sunnyside Restaurant Week) for exposing me to this part of town.","Noel P."
"Arriba Arriba Sunnyside",1,"2017-01-06","Was offered a complimentary drink or dessert to a group of people for not making it to happy hour on time, bill was quite large and though a small gesture will not kill or make us or the business, the guy ran off and did not deliver.  What a pity.","Ever V."
"Arriba Arriba Sunnyside",4,"2015-12-24","I was hesitant to go in.  The restaurant is dark.  Looks like a club from the outside.  But my husband wanted Mexican food, so we gave it a go, without reading reviews. My first experience with coconut frozen margaritas.  Woowee!  Delish and strong, plus you get a couple of dollars off during happy hour.   Our meals were great.  I had shrimp ajillo: nice sized shrimp in a delicious garlic sauce served with beans, rice and salad.  (Nothing was left on my plate.)  T, always on the quest for good chili rellenos, ordered it here.  He liked it better than our usual place in Georgia.  Even the salsa was an upgrade from what we get at home: chunky, flavorful.  Yum.","Meredith R."
"Arriba Arriba Sunnyside",5,"2016-04-01","I really can't tell you guys how much in love I am with this place! After my initial first visit (check previous review) I really have made this my go to spot for Mexican cuisine. Also found out about TACO TUESDAY! $2 tacos! You can mix and match any tacos for $2 each! So if you're feeling steak and chorizo taco you can get that, or you can get a couple of  specialty tacos like the Baja fish tacos (love!) for less than $9!  Staff, SUPER friendly and nice especially the new manager, Payton, very attentive and hilarious! Made us feel like we were at home. Kept checking up on us from time to time to make sure we were well taken care of. Definitely guys, come and try this place. Ambiance, food, music, and staff are just amazing!","Stephanie W."
"Arriba Arriba Sunnyside",5,"2015-10-27","Good food, music, drinks and company. What more could you ask for?  This Sunnyside gem is located right on Queens blvd and has alot to offer. Thanks to SRW (Sunnyside Restaurant Week) for exposing me to this part of town. We dined in on a Friday night about 10 pm and the place was packed. They had the music pumping playing lots of Top 40, reggaeton and old school joints. The environment was live and everyone was definitely having a good time. After a few drinks the DJ had us dancing in our seats lol Since its around Halloween time, they had the entire restaurant decorated festively; ghouls hanging from the ceiling, blood splattered walls, spider webs etc. It was pretty cool and you could tell they put a hell of alot of work into decorating the entire restaurant. The SRW prefix menu we were offered was a great deal. There were atleast 5 appetizer and entree options for us to choose from, two for dessert and two complimentary drinks (sangria/margarita) for only $28 pp! The portions were large and we all were pleased with the food. The calamari, chicken soup and quesadillas were perfection. My shrimp with garlic sauce was great, rice and beans good, the churros and flan for dessert were classically amazing. My fellow diners mentioned the crab in their shrimp and crab enchiladas was non existent but overall they were delicious.  The margaritas were strong (my friend could only finish one of hers lol) and the constant flow of sangrias had me feeling good. Our waitress made sure that we never had an empty glass, which was awesome. She was a bit slow though with picking up dirty plates and bringing out our food. We didn't mind as the drinks and convos kept us occupied. Overall she was very friendly and made wonderful suggestions to us.  Their regular menu looks extensive and I can't wait to come back and try other things.","Dyanne S."
"Arriba Arriba Sunnyside",5,"2015-11-18","I've been going to Arriba for two years now.  The main draw is the music and ambiance; if you go there often enough you'll know sasha, jennifer, Cristina, et al.   I would suggest the California burrito for food, and for drinks something that's of menu: The Viviana!  Ask sasha for a Viviana and you'll love it.","Dennis G."
"Arriba Arriba Sunnyside",4,"2015-09-30","My friends and I come here for one reason..strong frozen margaritas!  The location isn't bad since it's right off the train so if you've had more than one of those margaritas, you'll be safe getting home. The food isn't bad as well. A little pricey for the portion that you get but the quality is great. You can tell it wasn't pre made or microwaved. They have plated dishes as well as tacos, quesadillas, and nachos for those who want to drink and have something to pick at. It wasn't on their menu but I got an Al Pastor quesadilla. The presentation was above average and it was just the right amount. It comes with a side of guacamole as well. The meat could have been seasoned more but it didn't take away from the quesadilla itself. It was topped with queso fresco so it has a nice touch to it.  The service was good as well. Even though there were only a few tables seated, they made sure to refill out waters and check up on us. And like all young people do, they didn't mind splitting the bill with cash and 2 credit cards which would annoy any waiter or waitress. I would come back with a group of friends but I probably won't be going solo.","Kevin L."
"Arriba Arriba Sunnyside",2,"2016-03-06","I don't know.. I have mixed feelings about this place. The customers are very nice and friendly. Some guy offered to buy me a drink although I've never met him in my life. Another beautiful Spanish lady offered to teach me salsa and led me to the dance floor. Very warm ambiance indeed.  My only take on the place is that I found it to be quite expensive given it's in the backwards of Queens Blvd. a simple cocktail could run you at about $15 PLUS tax and gratuity, 30% more expensive than similar adjacent restaurants in the Sunnyside area. Yes the place is too dark as other reviewers have mentioned and the decoration is humble. My table was wobbling all night I had to stabilize it with one hand while holding my drink with the other. Nice vibe overall, particularly on Saturdays, but it doesn't come out cheap.","Modo Z."
"Arriba Arriba Sunnyside",1,"2016-09-09","Let me start by expressing my frustrations in having to actually give this place a 1 star rating as it will not allow me to give an honest review of No stars.  I recently moved to the area and was seeking some Spanish food. Arriba Arriba was recommended to me by a coworker and I decided to give it a try. Not only did I have a terrible experience but I felt bad for the employees working in this location. While ordering I felt somewhat uncomfortable as I was being stared down by what would seem to be an owner or manager. While reviewing the menu I noticed that the prices seemed high but thought I would give it a try regardless. I placed my order and when my food finally arrived it was less than impressive.  It tasted like reheated takeout and I immediately regretted my decision. I probably would have been better off eating at the taco truck across the street. While sitting there frustrated with my decision, I witnessed the same gentleman who was awkwardly eyeing me earlier yelling at one of the servers. This seemed highly unprofessional as it was done in front of customers trying to enjoy there less than satisfactory food and decent conversations with friends or family.  This made me feel so uncomfortable that at one point I contemplated interrupting the dispute to ask for my check. This saddened me as I had previously heard such great things about taco Tuesday in regards to the staff and ambiance. Just to clarify this visit was not on a Tuesday and so I can not remark on what that may have been like. All I can assume is that there are clear inconsistencies.  I will not be returning nor recommending. The only recommendation I have is; Do not waste your time or hard earned $$ in this establishment unless you are seeking mediocre food at Manhattan prices and a less than professional environment.","Jenn H."
"Arriba Arriba Sunnyside",5,"2016-04-27","I have been on tuesday night and really love the tacos. Staff super friendly and attentive too I will be back","Valerio M."
"Arriba Arriba Sunnyside",4,"2016-01-23","The meals are delicious.  They come in huge portions!  The clincher is that they accept reservations and large groups!  It has a great vibe with decorations and a theme.   I like the music and the food.  I find that lighting in the restaurant is not bright.  Hence, my food coma kicking in right after the meal. The waitresses are really nice and patient.  The drinks are about ten bucks.  The meals are a bit on the expensive side, but not crazier than Manhattan prices.  They are worth it, since each dish is really equivalent to that of two meals.","Polly H."
"Arriba Arriba Sunnyside",3,"2016-07-17","Nice Mexican place in Sunnyside.  They have a decent menu but it's very noisy inside.","Tom T."
"Arriba Arriba Sunnyside",4,"2014-09-20","This place is pretty darn great for tacos and mohitos.  They also offer live dj and gets pretty loud. Food is great, for what it's worth. The staff is great and friendly, so I like this place.","Michael L."
"Arriba Arriba Sunnyside",4,"2016-01-27","I leave in the neighborhood great place. Yelp try it out.omg the fish tacos are amazing got to try them new on the menu.","Carlos M."
"Arriba Arriba Sunnyside",4,"2016-06-23","Out of all the Mexican restaurants in sunnyside, this is probably one of the best ones. I have been here numerous times and have always been satisfied. The food is delicious and tasty. They have a wide variety of dishes! Just a warning about the wings: they are very spicy even if you say not that spicy.The drinks are also very good.Especially, the jalapeño margaritas! I'm giving this place four stars because of the service.Sometimes the waiters can be a bit rude or can take too long to serve you.Overall, this food has great food,drinks,and music depending on the day.","Pao C."
"Arriba Arriba Sunnyside",3,"2016-01-26","I've been here twice, the first time i walked in the place had maybe three customers in the entire establishment... Score!.... I'm not a fan of bumping elbows with someone I don't know. The food was O.k. i had the steak tacos and i ordered a margarita and a mojito. The drinks were good, the male bartender obviously knew how to make a mojito. On my second visit, the place was packed, which is fine. It's just the service was lacking, it took the waitress sometime to get back to my table and I asked her for water three times before I finally got it. The drinks this time around tasted like watered down bug spray. Ugh i dont know, it tasted like someone took a can of raid and sprayed every glass and bottle behind the bar,then proceeded to make my drink. It was either that or the measured ingredients were off. It was drinkable though, apart from the buggy after taste. ;o","Shenaid S."
"Arriba Arriba Sunnyside",5,"2016-05-30","When you go to a good place, you always  come back to it.. when you are honest on how customers  service is or the food you will always  leave an honest review. Nothing  more, nothing  less.. great food, great, customer  service. Sat at the bar and Kathy  was on point.. Been coming here for over 10 yrs, that says  it all.. since Sasha was a busser, lol","Love2eat 7."
"Arriba Arriba Sunnyside",5,"2015-11-27","Bartender Sasha and jennifer are the best ! This place will not be the same without them. Gerardo the manager is rude! Arriba Arriba will not be the awesome place without these bartenders!! Good job guys' we love u in woodside queens!! Management sucks!! They terrible !!","Sandy R."
"Arriba Arriba Sunnyside",1,"2015-09-10","Can I give them zero stars? Went in for happy hour, first watery mix margarita is free, second one is $20!! What sort of happy hour is that?? Lousy drinks and a total ripoff.   Steer clear!!","Rob K."
"Arriba Arriba Sunnyside",1,"2015-12-16","I came here for lunch because of their lunch specials.  The place was empty and the staff looked at me like I was from outer space when I came in.  The energy was weird!  They did not smile and it felt like I was had walked into a place where I was clearly not welcome.  I decided to stay, giving them the benefit of the doubt, because I had seen the place packed in the evenings.   I have seen it hopping like a club even!  When I finally tried it out...the place kind of seemed to have an identity crisis.  Is it a sports bar?  Is it a Mexican restaurant?  Or is it a club?  It really just looked trashy and beat inside.  The food was just ok.  The service was awkward.  I am definitely crossing this place off my list for eats.  Maybe it is just for drinks?","Jourdan D."
"Arriba Arriba Sunnyside",5,"2016-04-07","I Absolutely love this place. I have been coming here for years and everything that I have had is awesome. It is one of my go to places for dinner with my friends or having it for our Friday lunches. They have great deals too. They have a pre-fixed dinner menu that is like $20 bucks, you can't beat that. I mean a drink, appetizer, entree and dessert. The portions are huge. I usually take home food every time i come here. The people are awesome especially Ivette. I love her! She is the best. Arriba arriba you have won my heart and my tummy!!!!!!!!","Nicola M."
"Arriba Arriba Sunnyside",5,"2016-03-05","Last time I was at the restaurant to eat was about a year ago and it wasn't that good at all. I recently gave it another try a couple nights ago and the quesadillas were AMAZING! I will definitely go back for the food to try another dish since the people next to me said the fish dish was delicious!","Katrina K."
"Arriba Arriba Sunnyside",1,"2015-05-29","This place is a not worth your money. I ordered a mojito and some quesadillas. The mojito was water down and it tasted like lemonade (it had way too much sugar). Plus the mint was rotten.","Jhanet M."
"Arriba Arriba Sunnyside",1,"2016-02-22","The food was sub par.. The waiter took forever, and the manager didn't care that we had a horrible time getting food that wasn't on the menu.. I ordered something that wasn't given to me.. I'm mad.","ItsAddy B."
"Arriba Arriba Sunnyside",5,"2016-09-06","Taco Tuesday is definitely the day to visit this place ..delicious tacos, fresh made guacamole. I normally come other days but Tuesday the service and environment is just warm and friendly. The manager and owner are so friendly and professional.","Lizbeth G."
