price,lotsize,nbdrm,nbhrm,nstor,ngar,drive,recrm,base,gas,air,neigh
76500,5850,3,1,2,1,1,0,1,0,0,0
70100,4000,2,1,1,0,1,0,0,0,0,0
90200,3060,3,1,1,0,1,0,0,0,0,0
110200,6650,3,1,2,0,1,1,0,0,0,0
111100,6360,2,1,1,0,1,0,0,0,0,0
120200,4160,3,1,1,0,1,1,1,0,1,0
120200,3880,3,2,2,2,1,0,1,0,0,0
125700,4160,3,1,3,0,1,0,0,0,0,0
152600,4800,3,1,1,0,1,1,1,0,0,0
161200,5500,3,2,4,1,1,1,0,0,1,0
163900,7200,3,2,1,3,1,0,1,0,1,0
55500,3000,2,1,1,0,0,0,0,0,0,0
49200,1700,3,1,2,0,1,0,0,0,0,0
65600,2880,3,1,1,0,0,0,0,0,0,0
67400,3600,2,1,1,0,1,0,0,0,0,0
69000,3185,2,1,1,0,1,0,0,0,1,0
73800,3300,3,1,2,1,0,0,0,0,0,0
74200,5200,4,1,3,0,1,0,0,0,0,0
82000,3450,1,1,1,0,1,0,0,0,0,0
82000,3986,2,2,1,1,0,1,1,0,0,0
88300,4785,3,1,2,1,1,1,1,0,1,0
120000,4510,4,2,2,0,1,0,1,0,0,0
69000,4000,3,1,2,0,1,0,0,0,1,0
69200,3934,2,1,1,0,1,0,0,0,0,0
76500,4960,2,1,1,0,1,0,0,0,0,0
77000,3000,2,1,2,0,1,0,0,0,0,0
79200,3800,2,1,1,0,1,0,0,0,0,0
80100,4960,2,1,1,0,1,0,1,0,1,0
81000,3000,3,1,1,0,0,0,0,0,1,0
81800,4500,3,1,2,0,1,0,0,0,1,0
82000,3500,2,1,1,0,0,0,1,0,0,0
87400,3500,4,1,2,2,1,0,0,0,1,0
89200,4000,2,1,1,0,1,0,0,0,0,0
93800,4500,2,1,1,0,1,0,0,0,0,0
111100,6360,2,1,2,0,1,0,0,0,0,0
111100,4500,2,1,1,2,1,0,0,0,1,0
112400,4032,2,1,1,0,1,0,1,0,0,0
122000,5170,3,1,4,0,1,0,0,0,1,0
149300,5400,4,2,2,2,1,0,0,0,1,0
99300,3150,2,2,1,0,0,0,1,0,0,0
121100,3745,3,1,2,0,1,0,1,0,0,0
127500,4520,3,1,2,0,1,0,1,0,1,0
149300,4640,4,1,2,1,1,0,0,0,0,0
167600,8580,5,3,2,2,1,0,0,0,0,0
69200,2000,2,1,2,0,1,0,0,0,0,0
80100,2160,3,1,2,0,0,0,1,0,0,0
74700,3040,2,1,1,0,0,0,0,0,0,0
78300,3090,3,1,2,0,0,0,0,0,0,0
87400,4960,4,1,3,0,0,0,0,0,0,0
99800,3350,3,1,2,0,1,0,0,0,0,0
100200,5300,5,2,2,0,1,0,0,0,0,0
103800,4100,4,1,1,0,0,0,1,0,0,0
123800,9166,2,1,1,2,1,0,1,0,1,0
173000,4040,3,1,2,1,1,0,1,1,0,0
69200,3630,3,3,2,0,0,1,0,0,0,0
45500,3620,2,1,1,0,1,0,0,0,0,0
46000,2400,3,1,1,0,0,0,0,0,0,0
102000,7260,3,2,1,3,1,1,1,0,0,0
64700,4400,3,1,2,0,1,0,0,0,0,0
54600,2400,3,1,2,0,1,0,0,0,0,0
