"model","ov_rating","va_rating"
"2005 Jaguar XK8",1,1
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",4,4
"2005 Jaguar XK8",5,4
"2005 Jaguar XK8",4,4
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",5,4
"2005 Jaguar XK8",1,1
"2005 Jaguar XK8",4,5
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",4,4
"2005 Jaguar XK8",3,2
"2005 Jaguar XK8",4,5
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",4,5
"2005 Jaguar XK8",4,4
"2005 Jaguar XK8",5,4
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",1,1
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",4,4
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",1,1
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",5,5
"2005 Jaguar XK8",4,4
"2007 Infiniti G35",2,2
"2007 Infiniti G35",1,1
"2007 Infiniti G35",4,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,4
"2007 Infiniti G35",4,4
"2007 Infiniti G35",1,2
"2007 Infiniti G35",4,4
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",3,5
"2007 Infiniti G35",2,2
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",2,2
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,3
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",2,2
"2007 Infiniti G35",3,3
"2007 Infiniti G35",5,4
"2007 Infiniti G35",4,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",3,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,4
"2007 Infiniti G35",5,4
"2007 Infiniti G35",3,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,4
"2007 Infiniti G35",3,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",4,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,4
"2007 Infiniti G35",4,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",3,4
"2007 Infiniti G35",4,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",3,3
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,5
"2007 Infiniti G35",5,4
"2007 Infiniti G35",5,5
"2007 Infiniti G35",4,4
"2007 Infiniti G35",5,5
