date,schedtime,deptime,carrier,origin,dest,distance,flightnumber,dayweek,daymonth,tailnumber,weather
2004-01-01,1455,1455,OH,BWI,JFK,184,5935,4,1,N940CA,good
2004-01-01,1640,1640,DH,DCA,JFK,213,6155,4,1,N405FJ,good
2004-01-01,1245,1245,DH,IAD,LGA,229,7208,4,1,N695BR,good
2004-01-01,1715,1709,DH,IAD,LGA,229,7215,4,1,N662BR,good
2004-01-01,1039,1035,DH,IAD,LGA,229,7792,4,1,N698BR,good
2004-01-01,840,839,DH,IAD,JFK,228,7800,4,1,N687BR,good
2004-01-01,1240,1243,DH,IAD,JFK,228,7806,4,1,N321UE,good
2004-01-01,1645,1644,DH,IAD,JFK,228,7810,4,1,N301UE,good
2004-01-01,1715,1710,DH,IAD,JFK,228,7812,4,1,N328UE,good
2004-01-01,2120,2129,DH,IAD,JFK,228,7814,4,1,N685BR,good
2004-01-01,2120,2114,DH,IAD,LGA,229,7924,4,1,N645BR,good
2004-01-01,1455,1458,DL,DCA,JFK,213,746,4,1,N918DE,good
2004-01-01,930,932,DL,DCA,LGA,214,1746,4,1,N242DL,good
2004-01-01,1230,1228,DL,DCA,LGA,214,1752,4,1,N241DL,good
2004-01-01,1430,1429,DL,DCA,LGA,214,1756,4,1,N242DL,good
2004-01-01,1730,1728,DL,DCA,LGA,214,1762,4,1,N241DL,good
2004-01-01,2030,2029,DL,DCA,LGA,214,1768,4,1,N242DL,good
2004-01-01,1530,1525,MQ,DCA,JFK,213,4752,4,1,N709MQ,good
2004-01-01,600,556,MQ,DCA,JFK,213,4760,4,1,N717MQ,good
2004-01-01,1830,1822,MQ,DCA,JFK,213,4784,4,1,N707MQ,good
2004-01-01,900,853,MQ,DCA,LGA,214,4956,4,1,N737MQ,good
2004-01-01,1300,1254,MQ,DCA,LGA,214,4964,4,1,N717MQ,good
2004-01-01,1400,1356,MQ,DCA,LGA,214,4966,4,1,N726MQ,good
2004-01-01,1500,1452,MQ,DCA,LGA,214,4968,4,1,N724MQ,good
2004-01-01,1900,1853,MQ,DCA,LGA,214,4976,4,1,N724MQ,good
2004-01-01,850,841,UA,IAD,LGA,229,846,4,1,N513UA,good
2004-01-01,900,858,US,DCA,LGA,214,2164,4,1,N709UW,good
2004-01-01,1100,1056,US,DCA,LGA,214,2168,4,1,N748UW,good
2004-01-01,1300,1253,US,DCA,LGA,214,2172,4,1,N709UW,good
2004-01-01,1500,1458,US,DCA,LGA,214,2176,4,1,N748UW,good
2004-01-01,1700,1655,US,DCA,LGA,214,2180,4,1,N709UW,good
2004-01-01,2100,2055,US,DCA,LGA,214,2188,4,1,N709UW,good
2004-01-01,1455,1452,RU,BWI,EWR,169,2403,4,1,N14916,good
2004-01-01,1720,1710,RU,BWI,EWR,169,2675,4,1,N16954,good
2004-01-01,1030,1030,RU,BWI,EWR,169,2303,4,1,N26549,good
2004-01-01,700,656,RU,BWI,EWR,169,2703,4,1,N16954,good
2004-01-01,1300,1256,CO,DCA,EWR,199,808,4,1,N18611,good
2004-01-01,1730,1726,CO,DCA,EWR,199,814,4,1,N19357,good
2004-01-01,840,840,DH,IAD,EWR,213,7299,4,1,N691BR,good
2004-01-01,1710,1704,DH,IAD,EWR,213,7302,4,1,N691BR,good
2004-01-01,1245,1245,DH,IAD,EWR,213,7303,4,1,N697BR,good
2004-01-01,2120,2118,DH,IAD,EWR,213,7304,4,1,N699BR,good
2004-01-01,1700,1651,RU,IAD,EWR,213,2497,4,1,N12540,good
2004-01-01,1900,1850,RU,IAD,EWR,213,2385,4,1,N16149,good
2004-01-01,1525,1521,RU,DCA,EWR,199,2261,4,1,N12564,good
2004-01-01,1900,1855,RU,DCA,EWR,199,2336,4,1,N21537,good
2004-01-01,1400,1357,RU,DCA,EWR,199,2216,4,1,N15983,good
2004-01-01,1515,1508,RU,IAD,EWR,213,2156,4,1,N16149,good
2004-01-01,1300,1255,RU,IAD,EWR,213,2664,4,1,N12519,good
2004-01-01,1630,1625,RU,DCA,EWR,199,2181,4,1,N19966,good
2004-01-02,1455,1455,OH,BWI,JFK,184,5935,5,2,N995CA,good
2004-01-02,1640,1641,DH,DCA,JFK,213,6155,5,2,N415FJ,good
2004-01-02,1245,1249,DH,IAD,LGA,229,7208,5,2,N688BR,good
2004-01-02,1455,1531,DH,IAD,LGA,229,7211,5,2,N665BR,good
2004-01-02,1715,1712,DH,IAD,LGA,229,7215,5,2,N639BR,good
2004-01-02,640,645,DH,IAD,LGA,229,7790,5,2,N686BR,good
2004-01-02,1039,1236,DH,IAD,LGA,229,7792,5,2,N665BR,good
2004-01-02,840,859,DH,IAD,JFK,228,7800,5,2,N645BR,good
2004-01-02,1240,1232,DH,IAD,JFK,228,7806,5,2,N332UE,good
2004-01-02,1455,1455,DH,IAD,JFK,228,7808,5,2,N324UE,good
2004-01-02,1645,1645,DH,IAD,JFK,228,7810,5,2,N305UE,good
2004-01-02,1715,1716,DH,IAD,JFK,228,7812,5,2,N322UE,good
2004-01-02,2120,2305,DH,IAD,JFK,228,7814,5,2,N657BR,good
2004-01-02,1610,1605,DH,IAD,JFK,228,7816,5,2,N315UE,good
2004-01-02,2120,2118,DH,IAD,LGA,229,7924,5,2,N709BR,good
2004-01-02,1455,1458,DL,DCA,JFK,213,746,5,2,N964DL,good
2004-01-02,930,930,DL,DCA,LGA,214,1746,5,2,N241DL,good
2004-01-02,1230,1230,DL,DCA,LGA,214,1752,5,2,N225DL,good
2004-01-02,1430,1427,DL,DCA,LGA,214,1756,5,2,N241DL,good
2004-01-02,1730,1730,DL,DCA,LGA,214,1762,5,2,N225DL,good
2004-01-02,2030,2028,DL,DCA,LGA,214,1768,5,2,N241DL,good
2004-01-02,1530,1522,MQ,DCA,JFK,213,4752,5,2,N720MQ,good
2004-01-02,600,552,MQ,DCA,JFK,213,4760,5,2,N736MQ,good
2004-01-02,1830,1847,MQ,DCA,JFK,213,4784,5,2,N727MQ,good
2004-01-02,900,852,MQ,DCA,LGA,214,4956,5,2,N713MQ,good
2004-01-02,1100,1053,MQ,DCA,LGA,214,4960,5,2,N708MQ,good
2004-01-02,1300,1258,MQ,DCA,LGA,214,4964,5,2,N713MQ,good
2004-01-02,1400,1402,MQ,DCA,LGA,214,4966,5,2,N718MQ,good
2004-01-02,1500,1456,MQ,DCA,LGA,214,4968,5,2,N708MQ,good
2004-01-02,850,850,UA,IAD,LGA,229,846,5,2,N556UA,good
2004-01-02,700,657,US,DCA,LGA,214,2160,5,2,N710UW,good
2004-01-02,900,857,US,DCA,LGA,214,2164,5,2,N736UW,good
2004-01-02,1100,1058,US,DCA,LGA,214,2168,5,2,N710UW,good
2004-01-02,1300,1258,US,DCA,LGA,214,2172,5,2,N736UW,good
2004-01-02,1500,1458,US,DCA,LGA,214,2176,5,2,N710UW,good
2004-01-02,1700,1655,US,DCA,LGA,214,2180,5,2,N736UW,good
2004-01-02,1900,1855,US,DCA,LGA,214,2184,5,2,N710UW,good
2004-01-02,2100,2056,US,DCA,LGA,214,2188,5,2,N736UW,good
2004-01-02,1720,1715,RU,BWI,EWR,169,2675,5,2,N19966,good
2004-01-02,1030,1030,RU,BWI,EWR,169,2303,5,2,N12540,good
2004-01-02,700,656,RU,BWI,EWR,169,2703,5,2,N16961,good
2004-01-02,1455,1456,RU,BWI,EWR,169,2403,5,2,N12946,good
2004-01-02,1730,1727,CO,DCA,EWR,199,814,5,2,N14342,good
2004-01-02,1300,1301,CO,DCA,EWR,199,808,5,2,N14664,good
2004-01-02,759,754,CO,DCA,EWR,199,806,5,2,N11641,good
2004-01-02,840,837,DH,IAD,EWR,213,7299,5,2,N679BR,good
2004-01-02,1245,1350,DH,IAD,EWR,213,7303,5,2,N686BR,good
2004-01-02,1430,1512,DH,IAD,EWR,213,7307,5,2,N309UE,good
2004-01-02,630,629,DH,IAD,EWR,213,7371,5,2,N312UE,good
2004-01-02,1630,1625,RU,DCA,EWR,199,2181,5,2,N14977,good
2004-01-02,700,655,RU,IAD,EWR,213,2855,5,2,N13990,good
2004-01-02,900,858,RU,DCA,EWR,199,2582,5,2,N14907,good
2004-01-02,700,657,RU,DCA,EWR,199,2761,5,2,N13997,good
2004-01-02,1700,1650,RU,IAD,EWR,213,2497,5,2,N12528,good
2004-01-02,1900,1856,RU,IAD,EWR,213,2385,5,2,N11107,good
2004-01-02,1300,1253,RU,IAD,EWR,213,2692,5,2,N14505,good
2004-01-02,900,854,RU,IAD,EWR,213,3276,5,2,N16151,good
2004-01-02,1900,1858,RU,DCA,EWR,199,2336,5,2,N15985,good
2004-01-02,2100,2050,RU,DCA,EWR,199,2879,5,2,N17108,good
2004-01-02,1400,1358,RU,DCA,EWR,199,2216,5,2,N13118,good
2004-01-02,1515,1510,RU,IAD,EWR,213,2156,5,2,N11107,good
2004-01-02,1525,1519,RU,DCA,EWR,199,2261,5,2,N15574,good
2004-01-03,1245,1243,DH,IAD,LGA,229,7208,6,3,N688BR,good
2004-01-03,1715,1738,DH,IAD,LGA,229,7215,6,3,N639BR,good
2004-01-03,640,640,DH,IAD,LGA,229,7790,6,3,N696BR,good
2004-01-03,1039,1030,DH,IAD,LGA,229,7792,6,3,N696BR,good
2004-01-03,840,855,DH,IAD,JFK,228,7800,6,3,N709BR,good
2004-01-03,1240,1237,DH,IAD,JFK,228,7806,6,3,N327UE,good
2004-01-03,1455,1455,DH,IAD,JFK,228,7808,6,3,N309UE,good
2004-01-03,1645,1654,DH,IAD,JFK,228,7810,6,3,N311UE,good
2004-01-03,1715,1741,DH,IAD,JFK,228,7812,6,3,N327UE,good
2004-01-03,2120,2213,DH,IAD,JFK,228,7814,6,3,N655BR,good
2004-01-03,1610,1604,DH,IAD,JFK,228,7816,6,3,N329UE,good
2004-01-03,2120,2138,DH,IAD,LGA,229,7924,6,3,N688BR,good
2004-01-03,1455,1505,DL,DCA,JFK,213,746,6,3,N997DL,good
2004-01-03,830,828,DL,DCA,LGA,214,1744,6,3,N225DL,good
2004-01-03,1030,1030,DL,DCA,LGA,214,1748,6,3,N242DL,good
2004-01-03,1230,1230,DL,DCA,LGA,214,1752,6,3,N225DL,good
2004-01-03,1430,1428,DL,DCA,LGA,214,1756,6,3,N242DL,good
2004-01-03,1630,1629,DL,DCA,LGA,214,1760,6,3,N225DL,good
2004-01-03,1830,1829,DL,DCA,LGA,214,1764,6,3,N242DL,good
2004-01-03,2030,2024,DL,DCA,LGA,214,1768,6,3,N225DL,good
2004-01-03,1530,1600,MQ,DCA,JFK,213,4752,6,3,N734MQ,good
2004-01-03,600,555,MQ,DCA,JFK,213,4760,6,3,N712MQ,good
2004-01-03,1830,1829,MQ,DCA,JFK,213,4784,6,3,N709MQ,good
2004-01-03,900,855,MQ,DCA,LGA,214,4956,6,3,N739MQ,good
2004-01-03,1300,1254,MQ,DCA,LGA,214,4964,6,3,N739MQ,good
2004-01-03,850,849,UA,IAD,LGA,229,846,6,3,N567UA,good
2004-01-03,700,655,US,DCA,LGA,214,2160,6,3,N760UW,good
2004-01-03,900,858,US,DCA,LGA,214,2164,6,3,N710UW,good
2004-01-03,1100,1059,US,DCA,LGA,214,2168,6,3,N760UW,good
2004-01-03,1300,1256,US,DCA,LGA,214,2172,6,3,N710UW,good
2004-01-03,1500,1500,US,DCA,LGA,214,2176,6,3,N760UW,good
2004-01-03,1700,1658,US,DCA,LGA,214,2180,6,3,N710UW,good
2004-01-03,1900,1857,US,DCA,LGA,214,2184,6,3,N760UW,good
2004-01-03,1720,1714,RU,BWI,EWR,169,2675,6,3,N15574,good
2004-01-03,700,655,RU,BWI,EWR,169,2703,6,3,N11536,good
2004-01-03,1030,1026,RU,BWI,EWR,169,2303,6,3,N14907,good
2004-01-03,1455,1448,RU,BWI,EWR,169,2267,6,3,N14974,good
2004-01-03,1300,1255,CO,DCA,EWR,199,808,6,3,N11612,good
2004-01-03,840,857,DH,IAD,EWR,213,7299,6,3,N693BR,good
2004-01-03,1710,1705,DH,IAD,EWR,213,7302,6,3,N693BR,good
2004-01-03,1245,1329,DH,IAD,EWR,213,7303,6,3,N672BR,good
2004-01-03,2120,2126,DH,IAD,EWR,213,7304,6,3,N643BR,good
2004-01-03,630,625,DH,IAD,EWR,213,7371,6,3,N333UE,good
2004-01-03,1725,1722,RU,IAD,EWR,213,2497,6,3,N17146,good
2004-01-03,1400,1356,RU,DCA,EWR,199,2216,6,3,N17513,good
2004-01-03,700,658,RU,IAD,EWR,213,2855,6,3,N14925,good
2004-01-03,930,941,RU,DCA,EWR,199,2582,6,3,N14977,good
2004-01-03,1730,1738,RU,DCA,EWR,199,2097,6,3,N14998,good
2004-01-03,1600,1556,RU,DCA,EWR,199,2181,6,3,N13955,good
2004-01-03,1515,1511,RU,IAD,EWR,213,2156,6,3,N12136,good
2004-01-03,700,703,RU,DCA,EWR,199,2761,6,3,N14907,good
2004-01-04,1455,1605,OH,BWI,JFK,184,5935,7,4,N973CA,good
2004-01-04,1640,1644,DH,DCA,JFK,213,6155,7,4,N424FJ,good
2004-01-04,1245,1249,DH,IAD,LGA,229,7208,7,4,N632BR,good
2004-01-04,1455,1535,DH,IAD,LGA,229,7211,7,4,N654BR,good
2004-01-04,1715,1837,DH,IAD,LGA,229,7215,7,4,N634BR,good
2004-01-04,640,640,DH,IAD,LGA,229,7790,7,4,N654BR,good
2004-01-04,1039,1032,DH,IAD,LGA,229,7792,7,4,N654BR,good
2004-01-04,840,900,DH,IAD,JFK,228,7800,7,4,N673BR,good
2004-01-04,1240,1243,DH,IAD,JFK,228,7806,7,4,N330UE,good
2004-01-04,1455,1504,DH,IAD,JFK,228,7808,7,4,N314UE,good
2004-01-04,1645,1642,DH,IAD,JFK,228,7810,7,4,N313UE,good
2004-01-04,1715,1709,DH,IAD,JFK,228,7812,7,4,N312UE,good
2004-01-04,2120,2120,DH,IAD,JFK,228,7814,7,4,N626BR,good
2004-01-04,1610,1607,DH,IAD,JFK,228,7816,7,4,N327UE,good
2004-01-04,2120,2116,DH,IAD,LGA,229,7924,7,4,N674BR,good
2004-01-04,1455,1500,DL,DCA,JFK,213,746,7,4,N912DL,good
2004-01-04,830,828,DL,DCA,LGA,214,1744,7,4,N242DL,good
2004-01-04,1030,1028,DL,DCA,LGA,214,1748,7,4,N221DL,good
2004-01-04,1230,1230,DL,DCA,LGA,214,1752,7,4,N242DL,good
2004-01-04,1430,1432,DL,DCA,LGA,214,1756,7,4,N221DL,good
2004-01-04,1630,1629,DL,DCA,LGA,214,1760,7,4,N242DL,good
2004-01-04,1830,1832,DL,DCA,LGA,214,1764,7,4,N221DL,good
2004-01-04,2030,2030,DL,DCA,LGA,214,1768,7,4,N242DL,good
2004-01-04,1530,1534,MQ,DCA,JFK,213,4752,7,4,N712MQ,good
2004-01-04,600,554,MQ,DCA,JFK,213,4760,7,4,N737MQ,good
2004-01-04,730,745,MQ,DCA,JFK,213,4771,7,4,N719MQ,good
2004-01-04,1830,1858,MQ,DCA,JFK,213,4784,7,4,N727MQ,good
2004-01-04,1300,1257,MQ,DCA,LGA,214,4964,7,4,N737MQ,good
2004-01-04,1500,1458,MQ,DCA,LGA,214,4968,7,4,N727MQ,good
2004-01-04,1700,1659,MQ,DCA,LGA,214,4972,7,4,N708MQ,good
2004-01-04,1900,1936,MQ,DCA,LGA,214,4976,7,4,N719MQ,good
2004-01-04,850,849,UA,IAD,LGA,229,846,7,4,N559UA,good
2004-01-04,900,858,US,DCA,LGA,214,2164,7,4,N730UW,good
2004-01-04,1000,954,US,DCA,LGA,214,2166,7,4,N765UW,good
2004-01-04,1100,1055,US,DCA,LGA,214,2168,7,4,N746UW,good
2004-01-04,1200,1158,US,DCA,LGA,214,2170,7,4,N711UW,good
2004-01-04,1300,1257,US,DCA,LGA,214,2172,7,4,N730UW,good
2004-01-04,1400,1359,US,DCA,LGA,214,2174,7,4,N765UW,good
2004-01-04,1500,1456,US,DCA,LGA,214,2176,7,4,N746UW,good
2004-01-04,1600,1559,US,DCA,LGA,214,2178,7,4,N711UW,good
2004-01-04,1700,1658,US,DCA,LGA,214,2180,7,4,N730UW,good
2004-01-04,1800,1758,US,DCA,LGA,214,2182,7,4,N765UW,good
2004-01-04,1900,1857,US,DCA,LGA,214,2184,7,4,N746UW,good
2004-01-04,2000,1957,US,DCA,LGA,214,2186,7,4,N711UW,good
2004-01-04,2100,2059,US,DCA,LGA,214,2188,7,4,N730UW,good
2004-01-04,1455,1615,RU,BWI,EWR,169,2403,7,4,N14943,good
2004-01-04,1315,1416,RU,BWI,EWR,169,2703,7,4,N13949,good
2004-01-04,1605,2030,RU,BWI,EWR,169,2603,7,4,N14933,good
2004-01-04,1030,1235,RU,BWI,EWR,169,2303,7,4,N19966,good
2004-01-04,1300,1255,CO,DCA,EWR,199,808,7,4,N59630,good
2004-01-04,1630,1833,CO,DCA,EWR,199,810,7,4,N16649,good
2004-01-04,840,857,DH,IAD,EWR,213,7299,7,4,N640BR,good
2004-01-04,1710,1917,DH,IAD,EWR,213,7302,7,4,N697BR,good
2004-01-04,1245,1310,DH,IAD,EWR,213,7303,7,4,N638BR,good
2004-01-04,2120,2221,DH,IAD,EWR,213,7304,7,4,N697BR,good
2004-01-04,1430,1600,DH,IAD,EWR,213,7307,7,4,N328UE,good
2004-01-04,1730,1952,RU,DCA,EWR,199,2097,7,4,N12136,good
2004-01-04,930,927,RU,DCA,EWR,199,2582,7,4,N13992,good
2004-01-04,900,858,RU,IAD,EWR,213,3276,7,4,N15985,good
2004-01-04,1900,2110,RU,IAD,EWR,213,2385,7,4,N24128,good
2004-01-04,1400,1356,RU,DCA,EWR,199,2216,7,4,N16987,good
2004-01-04,1900,2120,RU,DCA,EWR,199,2336,7,4,N12569,good
2004-01-04,1515,1557,RU,IAD,EWR,213,2156,7,4,N18101,good
2004-01-05,1455,1610,OH,BWI,JFK,184,5935,1,5,N814CA,good
2004-01-05,1640,1638,DH,DCA,JFK,213,6155,1,5,N424FJ,good
2004-01-05,1245,1338,DH,IAD,LGA,229,7208,1,5,N674BR,good
2004-01-05,1455,1606,DH,IAD,LGA,229,7211,1,5,N643BR,good
2004-01-05,1715,1848,DH,IAD,LGA,229,7215,1,5,N649BR,good
2004-01-05,640,633,DH,IAD,LGA,229,7790,1,5,N643BR,good
2004-01-05,1039,1054,DH,IAD,LGA,229,7792,1,5,N643BR,good
2004-01-05,840,946,DH,IAD,JFK,228,7800,1,5,N651BR,good
2004-01-05,1240,1312,DH,IAD,JFK,228,7806,1,5,N305UE,good
2004-01-05,1645,1700,DH,IAD,JFK,228,7810,1,5,N331UE,good
2004-01-05,1715,1709,DH,IAD,JFK,228,7812,1,5,N332UE,good
2004-01-05,2120,2200,DH,IAD,JFK,228,7814,1,5,N683BR,good
2004-01-05,1610,1651,DH,IAD,JFK,228,7816,1,5,N303UE,good
2004-01-05,2120,2125,DH,IAD,LGA,229,7924,1,5,N699BR,good
2004-01-05,1455,1459,DL,DCA,JFK,213,746,1,5,N994DL,good
2004-01-05,630,630,DL,DCA,LGA,214,1740,1,5,N221DL,good
2004-01-05,730,734,DL,DCA,LGA,214,1742,1,5,N241DL,good
2004-01-05,830,830,DL,DCA,LGA,214,1744,1,5,N242DL,good
2004-01-05,930,932,DL,DCA,LGA,214,1746,1,5,N225DL,good
2004-01-05,1030,1031,DL,DCA,LGA,214,1748,1,5,N223DZ,good
2004-01-05,1130,1128,DL,DCA,LGA,214,1750,1,5,N241DL,good
2004-01-05,1230,1230,DL,DCA,LGA,214,1752,1,5,N242DL,good
2004-01-05,1330,1329,DL,DCA,LGA,214,1754,1,5,N225DL,good
2004-01-05,1430,1427,DL,DCA,LGA,214,1756,1,5,N223DZ,good
2004-01-05,1630,1635,DL,DCA,LGA,214,1760,1,5,N242DL,good
2004-01-05,1730,1730,DL,DCA,LGA,214,1762,1,5,N225DL,good
2004-01-05,1830,1829,DL,DCA,LGA,214,1764,1,5,N223DZ,good
2004-01-05,1930,1955,DL,DCA,LGA,214,1766,1,5,N241DL,good
2004-01-05,2030,2028,DL,DCA,LGA,214,1768,1,5,N242DL,good
2004-01-05,1530,1538,MQ,DCA,JFK,213,4752,1,5,N704MQ,good
2004-01-05,600,557,MQ,DCA,JFK,213,4760,1,5,N707MQ,good
